,loss,accuracy,val_loss,val_accuracy,lr
0,0.41918930411338806,0.8939880728721619,6.600827693939209,0.09130952507257462,0.001
1,0.1914750337600708,0.9435714483261108,3.103875160217285,0.3236904740333557,0.001
2,0.15255454182624817,0.9543452262878418,0.12422063946723938,0.9634523987770081,0.001
3,0.12224728614091873,0.9631547331809998,0.1336478292942047,0.961904764175415,0.001
4,0.10678844898939133,0.9662797451019287,0.10853713005781174,0.9684523940086365,0.001
5,0.09483269602060318,0.9696726202964783,0.1416674703359604,0.9583333134651184,0.001
6,0.08254853636026382,0.9727380871772766,0.1191011518239975,0.9644047617912292,0.001
7,0.07635995745658875,0.9750000238418579,0.12567263841629028,0.9632142782211304,0.001
8,0.07210192084312439,0.9763095378875732,0.11521115154027939,0.9665476083755493,0.001
9,0.06587178260087967,0.9784226417541504,0.11221430450677872,0.9688095450401306,0.001
10,0.05746804550290108,0.981041669845581,0.10666937381029129,0.9696428775787354,0.001
11,0.05374426767230034,0.9818750023841858,0.12240573018789291,0.9659523963928223,0.001
12,0.05091458559036255,0.9824404716491699,0.1134205013513565,0.9691666960716248,0.001
13,0.05000065639615059,0.9830357432365417,0.10278023779392242,0.9721428751945496,0.001
14,0.04427716135978699,0.984970211982727,0.12115277349948883,0.9676190614700317,0.001
15,0.04833107441663742,0.983005940914154,0.1055498868227005,0.9723809361457825,0.001
16,0.042384073138237,0.9850297570228577,0.1182202473282814,0.9684523940086365,0.001
17,0.039279110729694366,0.9867559671401978,0.11608213931322098,0.9711904525756836,0.001
18,0.03531321510672569,0.9880654811859131,0.1338389366865158,0.9670237898826599,0.001
19,0.03580675646662712,0.987291693687439,0.12427179515361786,0.970714271068573,0.001
20,0.03211544081568718,0.9878571629524231,0.10866133868694305,0.9735714197158813,0.001
21,0.03462551161646843,0.988095223903656,0.11446927487850189,0.9711904525756836,0.001
22,0.031934723258018494,0.9889583587646484,0.12606927752494812,0.9679762125015259,0.001
23,0.03192315250635147,0.9891369342803955,0.11407352983951569,0.9733333587646484,0.001
24,0.031337760388851166,0.9886606931686401,0.11439492553472519,0.9735714197158813,0.001
25,0.03069249913096428,0.9889881014823914,0.11013267934322357,0.9748809337615967,0.001
26,0.027543986216187477,0.9900000095367432,0.1197606772184372,0.9727380871772766,0.001
27,0.02715529501438141,0.9900297522544861,0.13045164942741394,0.9720237851142883,0.001
28,0.02574559859931469,0.9906845092773438,0.13875490427017212,0.9700000286102295,0.001
29,0.02682984061539173,0.9908333420753479,0.12078962475061417,0.9732142686843872,0.001
30,0.02327842265367508,0.9912797808647156,0.13279710710048676,0.9726190567016602,0.001
31,0.025344427675008774,0.9908928275108337,0.11843644827604294,0.9753571152687073,0.001
32,0.02442357875406742,0.9914880990982056,0.12069828808307648,0.9713095426559448,0.001
33,0.0237753726541996,0.9916964173316956,0.12823793292045593,0.973809540271759,0.001
